_id,id,air_quality_benfits_total_lbs,neighborhood
670,274952412,0.239166724,Central Northside
671,1613309721,3.138420672,Marshall-Shadeland
672,1933791435,1.220369772,Brighton Heights
673,530656214,1.086478263,Brighton Heights
674,1255073782,2.06132286,Brighton Heights
675,367803350,0.112086779,Marshall-Shadeland
676,844565968,3.287461569,Brighton Heights
677,2011527042,1.826096296,Brighton Heights
678,469253390,1.723781592,Brighton Heights
679,1777814929,0.304061227,Brighton Heights
680,1416615396,0.598299062,Brighton Heights
681,1739386398,1.077675387,Central Northside
682,1867137450,0.598299062,Brighton Heights
683,1934756037,0.123548697,Brighton Heights
684,297502877,4.102281026,Brighton Heights
685,1774711247,2.162141866,Brighton Heights
686,693039841,0.173330867,Brighton Heights
687,1697091054,0.207721333,Brighton Heights
688,691084294,0.194329668,Brighton Heights
689,1557361690,0.766035428,Brighton Heights
690,726988719,0.060426155,Brighton Heights
691,78464640,0.649457198,Marshall-Shadeland
692,1882008247,0.683577706,North Shore
693,412165922,1.868601673,Marshall-Shadeland
694,1889431500,0.527788049,Marshall-Shadeland
695,925325457,0.207224798,Marshall-Shadeland
696,494777771,0.447259761,Marshall-Shadeland
697,1022077099,4.067038721,Marshall-Shadeland
698,318538906,5.277835683,Marshall-Shadeland
699,587204160,1.826555529,Marshall-Shadeland
700,1362488735,1.750170719,Brighton Heights
701,1613051735,0.745079975,Overbrook
702,1065508211,0.634208935,Overbrook
703,597845214,0.049331076,North Shore
704,195703165,2.385804995,Overbrook
705,688590997,0.056788771,Overbrook
706,1940240192,0.220221279,Overbrook
707,1814856469,1.086478263,Homewood North
708,317940094,1.252401377,Homewood North
709,432764806,1.673810145,Homewood North
710,302994100,2.138232745,Homewood North
711,794655943,2.254338394,Homewood North
712,831787086,0.889873934,Homewood North
713,20336071,2.022127095,Homewood North
714,1140783666,0.329597314,Central Northside
715,1209937312,0.957374103,Homewood North
716,1548912825,2.370444044,Homewood South
717,1876618910,0.887602502,Homewood North
718,1281974126,1.110796307,Homewood North
719,1411792716,1.48915183,Homewood South
720,1518230497,1.35560581,Homewood North
721,584205843,2.370444044,Homewood North
722,415005347,1.48915183,Homewood North
723,1544718397,1.35560581,Homewood North
724,470233252,1.195617267,Homewood South
